date,tavg,tmin,tmax,prcp,snow
1/1/22,11.8,10.5,13.1,0.1,0
1/2/22,10.5,8.5,11.5,3,0
1/3/22,8.3,7.1,9.7,0,0
1/4/22,3.8,0.2,7,2.5,0
1/5/22,1.6,-0.4,4.6,0,0
1/6/22,1.4,-2.7,5.4,3.5,0
1/7/22,2.9,0.9,4.7,0,0
1/8/22,4.9,0.8,8.5,6.2,0
1/9/22,3.6,1.9,6,0,0
1/10/22,4.5,2.3,6.6,0,0
1/11/22,7.3,6,8.3,1.6,0
1/12/22,3.8,1.5,5.9,0,0
1/13/22,3.2,1,6.9,0,0
1/14/22,2.3,0.4,5.4,0,0
1/15/22,2.8,1.2,5.4,0,0
1/16/22,4.6,2.7,7.2,0.3,0
1/17/22,3,0.7,6.9,0,0
1/18/22,2.4,0.4,5.3,0,0
1/19/22,4.3,2.3,7.5,0.1,0
1/20/22,1.6,-0.6,3.9,0,0
1/21/22,1.4,-1.6,4.7,0,0
1/22/22,2.7,0.6,6,0,0
1/23/22,2.5,1.2,4.3,0,0
1/24/22,2.4,0.6,4.6,0,0
1/25/22,0.7,-0.4,2.7,0,0
1/26/22,2.8,0,5.8,0,0
1/27/22,6.6,4.1,10,0,0
1/28/22,5.1,2,7.8,0,0
1/29/22,9.5,5.5,12.1,0,0
1/30/22,4.5,1.6,6.7,0.3,0
1/31/22,5.1,3,6.9,0.5,0
2/1/22,8.8,4,11.6,0.4,0
2/2/22,9.2,6.9,11,0,0
2/3/22,7.8,6.8,10,0,0
2/4/22,5.8,2.5,7.9,3.9,0
2/5/22,5.1,1.1,8.4,0,0
2/6/22,8.1,5,9.2,5.5,0
2/7/22,5.7,2.3,8.2,0.2,0
2/8/22,9.2,7.6,11.5,0,0
2/9/22,8.9,7.5,11.3,2.5,0
2/10/22,4.9,1.7,7.3,0.5,0
2/11/22,3.1,0.4,6.9,0,0
2/12/22,4.7,2.7,7.1,0,0
2/13/22,7.4,5.8,9,9,0
2/14/22,6.8,4.5,8.5,1.1,0
2/15/22,6,2.2,8.7,9,0
2/16/22,12.4,9.1,14.5,2.4,0
2/17/22,8.1,6.4,10,0.1,0
2/18/22,7.2,3,10,2.6,0
2/19/22,4.5,2,7,4.5,0
2/20/22,9,5.2,11.4,3.9,0
2/21/22,6.5,3.7,10,0,0
2/22/22,7.7,4.5,11.9,0.2,0
2/23/22,6.3,2.8,9.5,0.1,0
2/24/22,5.5,2.4,7.3,5.3,0
2/25/22,5.2,2.7,9.3,0.1,0
2/26/22,4.9,1.7,9.3,0,0
2/27/22,4.5,1.6,8.4,0,0
2/28/22,7.9,4.5,10.8,1.8,0
3/1/22,7.5,6.5,9,7.8,0
3/2/22,5.9,4.9,6.5,9.7,0
3/3/22,7.6,4.5,10.9,0.1,0
3/4/22,6.5,3.9,8.1,3.2,0
3/5/22,4.2,3.2,5.7,3.7,0
3/6/22,3,1.4,5.3,0.1,0
3/7/22,2.8,0.9,5.3,0.3,0
3/8/22,4.7,0.1,9.8,0,0
3/9/22,8.4,6.2,11.4,0,0
3/10/22,10,7.3,13.6,0,0
3/11/22,9.1,8,10.7,4.1,0
3/12/22,8.7,7.1,11,0.5,0
3/13/22,8.3,6.2,10.5,3.9,0
3/14/22,7.2,3.2,11.7,1,0
3/15/22,8.7,4.9,13.2,0,0
3/16/22,8.9,5.8,11.4,8,0
3/17/22,7.2,2.2,12.6,0,0
3/18/22,8.3,3.6,14.1,0,0
3/19/22,8.5,5.5,12.8,0,0
3/20/22,6,2.8,9.8,0,0
3/21/22,7.8,1.4,14.2,0,0
3/22/22,11.3,7,17,0,0
3/23/22,11.2,5.7,17.7,0,0
3/24/22,11.1,5.8,17.6,0,0
3/25/22,9.8,4.3,16.2,0,0
3/26/22,9.9,4.3,16.4,0,0
3/27/22,8.6,0,13.2,0,0
3/28/22,9.1,3.9,15,0.3,0
3/29/22,8.6,7.2,10.6,0.1,0
3/30/22,6.7,4,9,5.7,0
3/31/22,2.6,0.4,5.4,0.7,0
4/1/22,2.6,-0.3,6.1,1.2,0
4/2/22,2.5,-1.1,6.4,0.5,0
4/3/22,3.7,-1.3,7.9,0,0
4/4/22,8.4,4.4,12.7,2.5,0
4/5/22,11.2,8.9,14.1,0.2,0
4/6/22,9.8,7.9,11.5,6.7,0
4/7/22,8.7,5.2,11.8,3.7,0
4/8/22,5.4,2.3,8.7,2.4,0
4/9/22,5.7,1.4,9.6,0.9,0
4/10/22,6.5,0.9,11.4,0,0
4/11/22,9.8,5.2,13.6,0,0
4/12/22,12.5,9.8,16.1,4.4,0
4/13/22,12.2,8,16.5,0.8,0
4/14/22,12.4,7.2,17.1,0,0
4/15/22,13.6,8.5,19.4,0,0
4/16/22,12.6,8.1,17.9,0,0
4/17/22,11.9,7.1,16.8,0,0
4/18/22,10.9,7.2,14.9,0,0
4/19/22,10,6.3,13.6,0,0
4/20/22,10.7,6.3,15.9,0,0
4/21/22,11.4,6.6,16.8,0,0
4/22/22,10.5,7.4,13.7,0,0
4/23/22,11.5,8.1,14.9,0.1,0
4/24/22,11.5,7.5,16.2,0,0
4/25/22,8.9,4.9,12.9,1.4,0
4/26/22,8.9,4,13.6,0,0
4/27/22,8,4.6,11.5,0,0
4/28/22,8.8,4,13.9,0.3,0
4/29/22,8.2,5.5,10.9,0,0
4/30/22,9.3,2.6,14.9,0,0
5/1/22,10.4,8.4,12.6,0.4,0
5/2/22,11.4,7.9,15,0,0
5/3/22,11.2,8.6,14,0,0
5/4/22,12,8.9,15.5,5.6,0
5/5/22,12.7,7.4,17.8,0,0
5/6/22,14.4,9.2,19.6,0,0
5/7/22,13.5,10.7,16.9,2.3,0
5/8/22,11.9,7.9,16.9,0,0
5/9/22,13.5,6.2,19.4,0,0
5/10/22,15.2,12.7,18.7,0.6,0
5/11/22,12.6,10,14.7,2,0
5/12/22,12,6.9,16.3,0,10
5/13/22,13.4,8.8,18.3,0,0
5/14/22,14,7.7,19.9,0,0
5/15/22,15.7,11.7,19.4,0.9,0
5/16/22,16.5,13.6,20,0.9,0
5/17/22,17.5,11.2,23.3,1,0
5/18/22,16,10.7,20.5,4.9,0
5/19/22,16.1,13,19.9,3.6,0
5/20/22,13,10.7,15.8,3.7,0
5/21/22,13.3,8.7,17.6,0,0
5/22/22,15.3,8.7,20.9,0,0
5/23/22,13.7,10.5,16,12.9,0
5/24/22,11.9,8.8,14.7,2.7,0
5/25/22,12.5,8.1,16.1,0,0
5/26/22,14.5,9.6,19,0,0
5/27/22,14.8,11.6,18.7,0,0
5/28/22,13.2,9.1,17.2,0,0
5/29/22,12.1,8.8,15.8,0.5,0
5/30/22,11.4,8.5,14.2,0.2,0
5/31/22,11.9,8.4,15.3,2.9,0
6/1/22,12.3,8.9,15.4,1.2,0
6/2/22,15.2,10,20,0,0
6/3/22,16.6,11,22,1.3,0
6/4/22,15.4,13,19,5.3,0
6/5/22,13.4,12,15,6.7,0
6/6/22,14.7,13,18,0.9,0
6/7/22,16.7,12,20,2.8,0
6/8/22,18.1,14,22,4.4,0
6/9/22,17,13,21,0,0
6/10/22,18.9,16,23,0.1,0
6/11/22,18.3,13,23,0,0
6/12/22,17.9,13,22,0,0
6/13/22,17.2,13,21,0,0
6/14/22,16.3,10.2,22.2,0,0
6/15/22,18.1,10.6,25,0,0
6/16/22,19.7,12.3,26.4,0,0
6/17/22,22.8,14.6,30.2,0.1,0
6/18/22,18.5,13.2,22.5,3,0
6/19/22,13.7,10.5,17.4,8.1,0
6/20/22,14.5,9.5,19.6,0,0
6/21/22,16,9.6,22.1,0,0
6/22/22,17.9,10.6,24.7,0,0
6/23/22,17.8,11.6,23.1,2.2,0
6/24/22,17.5,14,21.4,0.4,0
6/25/22,15.3,12.4,18,0.2,0
6/26/22,15.1,10.6,19.4,0,0
6/27/22,14.6,10.5,18.1,0.6,0
6/28/22,14.8,9.5,19.3,0,0
6/29/22,16,13,19.9,0.5,0
6/30/22,14.5,11.9,17.1,4.6,0
7/1/22,14.5,9.6,19.4,0.3,0
7/2/22,15.1,10.9,18.8,0.1,0
7/3/22,15.1,9.8,20,0,0
7/4/22,16,10,21.2,0,0
7/5/22,15.5,10.5,20,0,0
7/6/22,17.1,10.5,23.1,0,0
7/7/22,18.2,14.1,23.5,0,0
7/8/22,19.7,13,26.5,0,0
7/9/22,19.2,14,24.8,0,0
7/10/22,20.3,13.2,27.5,0,0
7/11/22,22.8,15.2,30,0,0
7/12/22,23.7,17.9,29.8,0.2,0
7/13/22,21.7,17.2,27,0,0
7/14/22,18.6,13.7,24,0,0
7/15/22,18.2,11.5,24.4,0,0
7/16/22,19.2,12.3,26.1,0,0
7/17/22,22.1,14.3,29.8,0,0
7/18/22,26.4,17.1,35.5,0,0
7/19/22,27.8,20.5,35,0,0
7/20/22,21,17.7,25.2,0.8,0
7/21/22,19,15.5,23.2,0.1,0
7/22/22,17.8,15,21.3,1.9,0
7/23/22,18.9,14.2,24.3,0.1,0
7/24/22,20.6,16.4,25.8,0.3,0
7/25/22,19.4,16,23.3,0.3,0
7/26/22,16.1,13.1,19.4,0.5,0
7/27/22,16.5,12.4,20.8,0.1,0
7/28/22,17.2,13.5,21.7,0.6,0
7/29/22,18.3,11.8,25,0,0
7/30/22,19.7,14.6,24.3,0,0
7/31/22,20.1,16.5,23.7,1.4,0
8/1/22,19.4,15.5,24.3,0.1,0
8/2/22,21.4,17,26.9,0.4,0
8/3/22,21.1,16.4,26.1,0,0
8/4/22,18.4,14.2,23,0,0
8/5/22,16.1,11.4,21.1,0,0
8/6/22,16.1,9.5,23,0,0
8/7/22,18.7,11.7,25.7,0,0
8/8/22,19.8,12.9,26.9,0,0
8/9/22,20.4,14.3,27.7,0,0
8/10/22,21.2,13.8,29.1,0,0
8/11/22,22.9,15.2,31.6,0,0
8/12/22,23.7,16.1,32.3,0,0
8/13/22,24.3,16.8,32.8,0,0
8/14/22,24.3,17.8,31.9,0,0
8/15/22,22.4,17.5,27.2,0.6,0
8/16/22,19.4,16.8,22.1,8.7,0
8/17/22,18.3,15.7,21.7,1.2,0
8/18/22,19.3,15.1,24.2,1.1,0
8/19/22,19.4,15.1,23.4,1.8,0
8/20/22,17.1,11.3,22.5,0,0
8/21/22,17.6,13.2,22.5,0,0
8/22/22,17.7,13.2,21.7,0.2,0
8/23/22,20.3,17.4,24,2.3,0
8/24/22,21.5,17.8,26.7,0.6,0
8/25/22,18.2,14.6,20.2,17,0
8/26/22,16.9,11.8,22,0,0
8/27/22,17.5,13.4,22.1,0,0
8/28/22,16.8,12.3,21.9,0,0
8/29/22,16.3,12.4,20.8,0,0
8/30/22,16.4,12.9,21.2,0,0
8/31/22,16.4,12.1,21.1,0,0
9/1/22,18,14,23,0,0
9/2/22,18.5,14.7,23.6,5.3,0
9/3/22,18.1,14.5,22.2,0,0
9/4/22,18.5,15.7,21.8,0,0
9/5/22,18.7,16.6,21.8,6.1,0
9/6/22,16.9,15.3,18.8,7.6,0
9/7/22,16.9,14.8,20,1.3,0
9/8/22,15.8,14.1,18.4,2.3,0
9/9/22,15.1,12.7,18.1,3.7,0
9/10/22,15.8,12.2,19.8,0.2,0
9/11/22,16.6,11.8,21.6,0,0
9/12/22,19.4,15.6,24.1,0.3,0
9/13/22,17.4,15.4,19.3,4.2,0
9/14/22,16.1,13.8,19.8,5,0
9/15/22,14.2,12,17.2,0.2,0
9/16/22,11.4,8.5,14.9,0,0
9/17/22,10.4,5.5,15.6,0,0
9/18/22,11.3,7.4,15.2,0,0
9/19/22,12.3,9.5,15.5,0,0
9/20/22,13,8.2,17.3,0,0
9/21/22,14.2,9.5,19,0,0
9/22/22,14.5,10.2,18.6,0,0
9/23/22,14.4,12,16.9,1.9,0
9/24/22,12.2,9.4,15.6,0.2,0
9/25/22,11.3,7.7,15.2,0,0
9/26/22,11.7,8.9,14,1.5,0
9/27/22,9.7,6.9,12.9,1,0
9/28/22,9.2,5.7,13.5,0,0
9/29/22,10,6.1,15,0,0
9/30/22,11.1,6.4,14.6,8.5,0
10/1/22,14.1,11.6,17.7,0,0
10/2/22,13,10.1,16.6,0,0
10/3/22,11.8,8.2,16.3,0,0
10/4/22,15,12.1,17.8,0,0
10/5/22,15.1,10.7,18.5,0.9,0
10/6/22,12.2,7.4,17.1,0,0
10/7/22,13.7,11.2,17.4,0,0
10/8/22,10.7,6.9,15.4,0,0
10/9/22,11.2,7.3,16,0,0
10/10/22,11.6,7.8,14.8,0.8,0
10/11/22,9.1,4.7,14.6,0,0
10/12/22,11,6.5,15.6,0.9,0
10/13/22,12.9,10.7,16.4,4.2,0
10/14/22,11.6,10,13.8,0,0
10/15/22,12.2,9.6,15.6,0,0
10/16/22,12.9,9.8,15.5,2,0
10/17/22,14.8,11,17.1,4.3,0
10/18/22,11.8,8.1,16.8,0,0
10/19/22,13.4,11,15.5,0.5,0
10/20/22,14.1,11.5,15.6,13.2,0
10/21/22,14.4,11.3,16.9,3.9,0
10/22/22,14.3,11.9,16.7,0,0
10/23/22,14.6,13.6,15.8,14.4,0
10/24/22,13.4,11.6,16,0.6,0
10/25/22,13.1,10.5,16.1,0.2,0
10/26/22,15.6,13.6,17.9,0.6,0
10/27/22,15.8,13.2,18.9,1,0
10/28/22,15.2,11.4,17,0,0
10/29/22,15.4,11.3,19.2,3.3,0
10/30/22,13.6,11.4,15.1,5,0
10/31/22,13.3,10.9,15.3,4.5,0
11/1/22,12.5,10.2,13.7,1.2,0
11/2/22,11.2,7.8,13.7,6.8,0
11/3/22,10.1,7.3,12.4,27.5,0
11/4/22,7.7,5.9,10.7,0.1,0
11/5/22,9,5,12.4,1.9,0
11/6/22,11.7,9.9,12.6,15.2,0
11/7/22,12.1,9.9,13.6,2.2,0
11/8/22,12.4,10.8,13.5,1.7,0
11/9/22,10.7,9.1,12.9,0,0
11/10/22,11.9,9.2,14.3,0,0
11/11/22,12.8,10.3,15.1,0,0
11/12/22,11.9,9.6,15.4,0,0
11/13/22,11.8,9.9,15,0,0
11/14/22,11.2,9.7,13.7,0.5,0
11/15/22,10.5,8.4,11.7,7.2,0
11/16/22,9.3,7.9,10.8,14.4,0
11/17/22,9.1,7.9,10.2,13.4,0
11/18/22,8,5.7,10.4,1.7,0
11/19/22,6,4.4,8.3,0.5,0
11/20/22,6.7,4.3,9.4,3.5,0
11/21/22,5.6,3.2,7.8,6.2,0
11/22/22,5.8,4.3,8.2,0,0
11/23/22,7.8,4.6,10.5,2.6,0
11/24/22,8.4,6,10.6,3.6,0
11/25/22,8,6.4,10.7,0,0
11/26/22,8.8,6.2,10.7,1.7,0
11/27/22,10.3,8.2,11.2,8.8,0
11/28/22,7.2,5.4,9.3,2.3,0
11/29/22,5.7,4.7,6.8,0,0
11/30/22,5.6,4.2,7.9,0,0
12/1/22,4.4,3.5,6,0,0
12/2/22,4.3,3.4,5.9,0,0
12/3/22,4.1,3.5,5.2,0,0
12/4/22,3.2,2.5,4,1.4,0
12/5/22,4.6,3.3,6.1,0.1,0
12/6/22,3.5,1.9,4.8,0,0
12/7/22,1,-1.2,2.9,0,0
12/8/22,-1.7,-3.3,0.8,0,0
12/9/22,-1.8,-3.6,0.8,0,0
12/10/22,-1.8,-3.3,0.7,0,0
12/11/22,-2.4,-3.6,-1.1,4.9,0
12/12/22,-1,-1.8,-0.2,0,0
12/13/22,-1.8,-3.5,0,0,0
12/14/22,-1.9,-3.5,-0.8,0,0
12/15/22,-3.3,-5.6,-0.8,0,0
12/16/22,-2.6,-4.3,0.2,0,10
12/17/22,-0.6,-2.9,2.5,0,10
12/18/22,1.3,-1.9,7.4,9.3,0
12/19/22,11.1,8,12.3,5.3,0
12/20/22,9.5,5.1,12,1.5,0
12/21/22,6.9,4.9,8.8,0,0
12/22/22,7.6,5.5,9.8,1.8,0
12/23/22,8.8,7.6,10.7,5.3,0
12/24/22,7.9,6,9.2,0,0
12/25/22,8.8,7.8,9.5,2.6,0
12/26/22,5.7,3.3,8.3,0,0
12/27/22,5.6,2.1,9.4,2.4,0
12/28/22,10,9.4,10.8,4,0
12/29/22,7.5,5,9.2,0,0
12/30/22,9,5.3,11.7,4.7,0
12/31/22,11.9,10.3,12.6,9,0